Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Courtage;Valuta;ISIN
2018-06-18;ISK - Aktier;Sälj;THQN B;-10;192,80;1923,00;5,00;SEK;SE0009241706
2018-06-18;ISK - Aktier;Köp;Starbreeze B;220;9,21;-2026,00;-;SEK;SE0005992831
2018-06-15;ISK - Aktier;Sälj;Tobii;-42;42,16;1771,00;-;SEK;SE0002591420
2018-06-14;ISK - Aktier;Sälj;BOL IL;-7;5,75;40,00;-;SEK;SE0011088673
2018-06-14;ISK - Aktier;VP-UTD 1 EPIROC : 1 ATLAS COPCO;EPI B DR;-10;-;-;-;SEK;SE9011166941
2018-06-14;ISK - Aktier;VP-UTD 1 EPIROC : 1 ATLAS COPCO;Epiroc B;10;-;-;-;SEK;SE0011166941
2018-06-14;ISK - Aktier;VP-UTD 1 EPIROC : 1 ATLAS COPCO;EPI B DR;10;-;-;-;SEK;SE9011166941
2018-06-13;ISK - Aktier;Köp;Starbreeze B;94;10,60;-996,00;-;SEK;SE0005992831
2018-06-13;ISK - Aktier;Sälj;EnQuest PLC;-270;3,69;995,00;-;SEK;GB00B635TG28
2018-06-12;ISK - Aktier;Sälj;Lyko Group A;-14;53,40;746,00;2,00;SEK;SE0010468918
2018-06-12;ISK - Aktier;Köp;Starbreeze B;42;12,58;-528,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Köp;Starbreeze B;5;12,88;-64,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Köp;Starbreeze B;80;13,88;-1110,00;-;SEK;SE0005992831
2018-06-12;ISK - Aktier;Sälj;Precise Biometrics;-280;1,91;535,00;-;SEK;SE0001823303
2018-06-12;ISK - Aktier;Sälj;SAAB B;-1;378,50;379,00;-;SEK;SE0000112385
2018-06-11;ISK - Aktier;Köp;Xspray Pharma;4;54,39;-219,00;1,00;SEK;SE0009973563
2018-06-11;ISK - Aktier;Köp;Precise Biometrics;300;1,86;-558,00;-;SEK;SE0001823303
2018-06-08;ISK - Aktier;Sälj;ATCO IL B;-10;8,00;80,00;-;SEK;SE0011166644
2018-06-08;ISK - Aktier;Köp;Precise Biometrics;300;1,94;-582,00;-;SEK;SE0001823303
2018-06-07;ISK - Aktier;Sälj;BOL;-7;328,00;2296,00;-;SEK;SE0011088665
2018-06-07;ISK - Aktier;Köp;THQN B;2;206,00;-413,00;1,00;SEK;SE0009241706
2018-06-07;ISK - Aktier;Köp;Starbreeze B;35;15,23;-533,00;-;SEK;SE0005992831
2018-06-07;ISK - Aktier;Köp;EnQuest PLC;270;3,85;-1040,00;-;SEK;GB00B635TG28
2018-06-07;ISK - Aktier;Köp;Precise Biometrics;500;1,97;-985,00;-;SEK;SE0001823303
2018-06-07;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;2000,00;-;SEK;-
2018-05-30;ISK - Aktier;Sälj;Holmen B;-2;211,05;422,00;-;SEK;SE0011090018
2018-05-30;ISK - Aktier;Köp;Precise Biometrics;265;1,65;-437,00;-;SEK;SE0001823303
2018-05-24;ISK - Aktier;Köp;Kinnevik B;5;306,10;-1531,00;-;SEK;SE0008373906
2018-05-24;ISK - Aktier;Köp;Tobii;5;40,30;-202,00;-;SEK;SE0002591420
2018-05-24;ISK - Aktier;Köp;Hansa Biopharma;9;223,80;-2014,00;-;SEK;SE0002148817
2018-05-24;ISK - Aktier;Sälj;Husqvarna B;-20;85,44;1709,00;-;SEK;SE0001662230
2018-05-24;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;2050,00;-;SEK;-
2018-05-22;ISK - Aktier;Köp;THQN B;8;186,60;-1497,00;4,00;SEK;SE0009241706
2018-05-22;ISK - Aktier;Köp;Starbreeze B;110;13,73;-1510,00;-;SEK;SE0005992831
2018-05-22;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;3000,00;-;SEK;-
2018-05-18;ISK - Aktier;Köp;Tobii;10;43,68;-437,00;-;SEK;SE0002591420
2018-05-17;ISK - Aktier;Köp;Tobii;27;41,88;-1131,00;-;SEK;SE0002591420
2018-05-17;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1500,00;-;SEK;-
2018-05-17;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;BOL IL;7;-;-;-;SEK;SE0011088673
2018-05-17;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;BOL DR;-7;-;-;-;SEK;SE9011088673
2018-05-17;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;BOL DR;7;-;-;-;SEK;SE9011088673
2018-05-15;ISK - Aktier;Köp;Mycronic;8;93,85;-751,00;-;SEK;SE0000375115
2018-05-15;ISK - Aktier;Sälj;Volvo B;-5;156,95;785,00;-;SEK;SE0000115446
2018-05-15;ISK - Aktier;Utdelning;Mycronic;14;2,50;35,00;-;SEK;SE0000375115
2018-05-15;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;BOL NY;7;289,06;-;-;SEK;SE0011088665
2018-05-15;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;BOL;-7;289,06;-;-;SEK;SE0000869646
2018-05-11;ISK - Aktier;SPLIT 2:1 VARAV EN IL-AKTIE;ATCO IL B;10;-;-;-;SEK;SE0011166644
2018-05-11;ISK - Aktier;SPLIT 2:1 VARAV EN IL-AKTIE;ATCO B DR;-10;-;-;-;SEK;SE9001426073
2018-05-11;ISK - Aktier;SPLIT 2:1 VARAV EN IL-AKTIE;ATCO B DR;10;-;-;-;SEK;SE9001426073
2018-05-08;ISK - Aktier;Köp;Mycronic;1;97,80;-98,00;-;SEK;SE0000375115
2018-05-08;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;Atlas Copco B;10;303,30;-;-;SEK;SE0011166628
2018-05-08;ISK - Aktier;SPLIT 2:1 VARAV 1 IL-AKTIE;ATCO B;-10;303,30;-;-;SEK;SE0006886768
2018-05-04;ISK - Aktier;Utdelning;BOL;7;8,25;57,75;-;SEK;SE0000869646
2018-04-27;ISK - Aktier;Sälj;Kinnevik B;-4;320,40;1282,00;-;SEK;SE0008373906
2018-04-27;ISK - Aktier;Köp;Mycronic;13;100,40;-1305,00;-;SEK;SE0000375115
2018-04-27;ISK - Aktier;Split;Holmen B;2;215,30;-;-;SEK;SE0011090018
2018-04-27;ISK - Aktier;Split;HOLM B;-1;430,60;-;-;SEK;SE0000109290
2018-04-26;ISK - Aktier;Köp;SAAB B;4;358,10;-1432,00;-;SEK;SE0000112385
2018-04-26;ISK - Aktier;Sälj;HOLM B;-1;435,80;436,00;-;SEK;SE0000109290
2018-04-26;ISK - Aktier;Köp;HOLM B;1;430,60;-431,00;-;SEK;SE0000109290
2018-04-26;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1440,00;-;SEK;-
2018-04-25;ISK - Aktier;Köp;ATCO B;10;303,30;-3033,00;-;SEK;SE0006886768
2018-04-25;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;3000,00;-;SEK;-
2018-04-16;ISK - Aktier;Utdelning;Husqvarna B;19;0,75;14,25;-;SEK;SE0001662230
2018-04-16;ISK - Aktier;Utdelning;SAAB B;3;5,50;16,50;-;SEK;SE0000112385
2018-04-16;ISK - Aktier;Utdelning;HOLM B;1;13,00;13,00;-;SEK;SE0000109290
2018-04-13;ISK - Aktier;Köp;Xspray Pharma;40;61,39;-2462,00;6,00;SEK;SE0009973563
2018-04-13;ISK - Aktier;Köp;Husqvarna B;1;78,10;-78,00;-;SEK;SE0001662230
2018-04-13;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;2500,00;-;SEK;-
2018-04-11;ISK - Aktier;Utdelning;Volvo B;5;4,25;21,25;-;SEK;SE0000115446
2018-03-19;ISK - Aktier;Köp;BOL;6;290,20;-1741,00;-;SEK;SE0000869646
2018-03-19;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1740,00;-;SEK;-
2018-03-07;ISK - Aktier;Köp;Husqvarna B;19;83,96;-1595,00;-;SEK;SE0001662230
2018-03-07;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1610,00;-;SEK;-
2018-02-28;ISK - Aktier;Köp;Hansa Biopharma;5;227,00;-1135,00;-;SEK;SE0002148817
2018-02-28;ISK - Aktier;Köp;Volvo B;2;157,00;-314,00;-;SEK;SE0000115446
2018-02-28;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1500,00;-;SEK;-
2018-02-23;ISK - Aktier;Köp;Xspray Pharma;1;64,96;-66,00;1,00;SEK;SE0009973563
